Rank,book title,book price,rating,author,year of publication,genre
32,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),7.74,4.7,Melissa Sweet,2011,Picture Book
33,The Housemaid,8.11,4.5,Don Miguel Ruiz,1997,"Spirituality, self-help, personal growth"
34,How to Know a Person: The Art of Seeing Others Deeply and Being Deeply Seen,19.89,4.5,Alice Walstead,2022,"Thriller, mystery, suspense"
35,The Very Hungry Caterpillar,5.9,4.9,David Brooks,2023,Nonfiction
36,How to Catch a Reindeer,5.99,4.8,Eric Carle,1969,"Childrens, literature"
37,Pookie's Thanksgiving (Little Pookie),6.99,4.9,Alice Walstead,2022,"Childrens, literature"
38,"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",12.68,4.7,Sandra Boynton,2022,"Picture Books, Childrens, Holiday"
39,The Seven Husbands of Evelyn Hugo: A Novel,9.49,4.6,Morgan Housel,2020,"Finance, Nonfiction, Psychology, Business, Self Help, Money, Economics"
40,I Love You to the Moon and Back,4.76,4.9,Taylor Jenkins Reid,2017,Historical Fiction
41,Outlive: The Science and Art of Longevity,16.99,4.7,Peter Attia,2023,"Health, Nonfiction, Science, Self Help"
42,Hundred Years' War on Palestine,12.99,4.6,Rashid Khalidi,2019,"History, Nonfiction, Politics, War"
43,Little Blue Truck's Christmas: A Christmas Holiday Book for Kids,11.2,4.8,Alice Schertle,2014,"Childrens, literature"
44,Goodnight Moon,5.36,4.9,Margaret Wise Brown,1947,"Childrens, literature"
45,I Am Thankful: A Thanksgiving Book for Kids,7.99,4.7,Sheri Wall,2020,"Picture Books, Childrens"
46,"How to Be the Love You Seek: Break Cycles, Find Peace, and Heal Your Relationships",20.11,,Nicole LePera,2023,"Self Help, Nonfiction, Mental Health, Psychology, Personal Development, Relationships"
47,A Court of Thorns and Roses Paperback Box Set (5 books),48.77,4.8,Sarah J. Maas,2021,"Fantasy, Romance"
48,Where's Bluey?: A Search-and-Find Book,6.93,4.8, Penguin Young Readers Licenses (,2022,"Childrens, Storytime,Fiction"
49,The Wonderful Things You Will Be,9.4,4.9,Emily Winfield Martin,2015,"Picture Books, Childrens, Fiction, Poetry"
50,How to Catch a Dinosaur,4.66,4.8,Adam Wallace,2019,"Picture Books, Dinosaurs, Childrens, Fiction, Storytime, Fantasy, Animals"
51,Hidden Potential: The Science of Achieving Greater Things,21,4.4,Adam M. Grant,2023,"Nonfiction, Self Help, Psychology, Business, Leadership, Personal Development"
52,Resurrection Walk (Lincoln Lawyer),20.98,5,Michael Connelly,2023,"Fiction, Mystery, Thriller, Suspense, Crime, Legal Thriller"
53,The Christmas Fix,9.49,4.6,Lucy Score,2017,"Christmas, Romance, Holiday, Contemporary Romance, Contemporary Fiction, Humor"
54,Flash Cards: Sight Words,2.88,4.8, Scholastic,2018,"Educational Material, Childrens"
55,I Love You Like No Otter: A Funny and Sweet Animal Board Book for Babies and Toddlers this Christmas (Punderland),5.37,4.9,Rose Rossner,2020,"Picture Books, Animals, Childrens, Fiction, Love, Family, Humor"
56,Chicka Chicka Boom Boom (Board Book),4.32,4.9,"Bill Martin Jr., John Archambault",1989,"Fiction, Alphabet"
57,"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul Food Rec",12.15,4.8,Snoop Dogg,2018,"Cookbooks, Cooking"
58,The Shadow Work Journal: A Guide to Integrate and Transcend your Shadows,17.28,4.6,Keila Shaheen,2021,"Self Help, Psychology"
